ID,MP,Party,Number of Children
102,Gifty Twum-Ampofo,NPP,NA
103,Samuel Atta Akyea,NPP,3
104,Robert Kwasi Amoah,NPP,8
105,Aboagye Emmanuel Didieye,NDC,1
106,Joseph Appiah Boateng,NDC,3
107,William Agyapong Quaittoo,NPP,4
108,Kennedy Nyarko Osei,NPP,0
109,William Ofori Boafo,NPP,1
110,Osei Bonsu Amoah,NPP,3
111,Baba Jamal Mohammed Ahmed,NDC,5
112,Yaw Owusu-Boateng,NPP,3
113,Kofi Osei-Ameyaw,NPP,2
114,Abena Osei-Asare (Mrs),NPP,2
115,Kwasi Amoako-Attah,NPP,4
116,Samuel Ayeh-Paye,NPP,3
117,Amankwa Kwabena Asiamah,NPP,7
118,Kofi Okyere-Agyekum,NPP,3
119,Ofosu Asamoah,NPP,3
120,Ebenezer Okletey Terlabi,NDC,3
121,Gifty Klenam (Ms),NPP,2
122,Kwame Seth Acheampong,NPP,0
123,Kwasi Boateng Adjei,NPP,3
124,Mark Assibey-Yeboah (Dr),NPP,3
125,Eric Kwakye Darfour,NPP,3
126,Frank Annoh-Dompreh,NPP,3
127,David Oppon-Kusi,NPP,7
128,Daniel Botwe,NPP,3
129,Frederick Opare-Ansah,NPP,0
130,Jeff Tetteh Kavianu,NDC,4
131,Joseph Sam Amankwanor,NDC,5
132,Magnus Kofi Amoatey,NDC,4
133,Theophilus Tetteh Chaie,NDC,1
134,Justice Joe Appiah,NPP,5
135,Fritz Frederic Baffour,NDC,4
136,Ursula G. Owusu-Ekuful (Mrs.),NPP,0
137,Comfort Doyoe Cudjoe-Ghansah (Mrs.),NDC,6
138,Emmanuel Nii Ashie-Moore,NDC,0
139,Nii Okai Emmanuel Laryea,NDC,2
140,Shirley A. Botchway(Ms),NPP,2
141,Alfred Kwame Agbesi,NDC,6
142,Henry Quartey,NPP,4
143,Naser Toure Mahama,NDC,2
144,Mustapha Ahmed (Maj [Rtd]) (Dr) (Alh),NDC,3
145,Kyeremateng Emmanuel Agyarko,NPP,7
146,Bright Edward Kodzo Demordzi,NDC,3
147,Nii Amasah Namoale,NDC,3
148,Daoud Anum Yemoh,NDC,5
149,Sarah Adwoa Safo (Ms),NPP,0
150,Nii Armah Ashietey,NDC,2
151,Joseph Nii Laryea Afotey-Agbo,NDC,5
152,Nii Oakley Quaye-Kumah (Dr),NDC,4
153,Benita Sena Okity-Duah (Mrs.),NDC,2
154,Amadu B. Sorogho (Alhaji),NDC,6
155,Enoch Teye Mensah,NDC,7
156,Edwin NiiξLantey Vanderpuye,NDC,6
157,Patrick Yaw Boamah,NPP,2
