shapeid,x,y,Path
150,-0.671528995,5.320139885,34094
150,-0.671528995,5.319861889,34095
150,-0.671805024,5.319861889,34096
150,-0.671805024,5.319583893,34097
150,-0.672361016,5.319583893,34098
150,-0.672361016,5.319305897,34099
150,-0.674027026,5.319305897,34100
150,-0.674027026,5.319027901,34101
150,-0.674583018,5.319027901,34102
150,-0.674583018,5.318749905,34103
150,-0.675972998,5.318749905,34104
150,-0.675972998,5.318470955,34105
150,-0.676527023,5.318470955,34106
150,-0.676527023,5.318192959,34107
150,-0.676805019,5.318192959,34108
150,-0.676805019,5.317917824,34109
150,-0.677639008,5.317917824,34110
150,-0.677639008,5.317639828,34111
150,-0.678195,5.317639828,34112
150,-0.678195,5.317361832,34113
150,-0.679305017,5.317361832,34114
150,-0.679305017,5.317082882,34115
150,-0.679583013,5.317082882,34116
150,-0.679583013,5.316804886,34117
150,-0.679861009,5.316804886,34118
150,-0.679861009,5.31652689,34119
150,-0.680417001,5.31652689,34120
150,-0.680417001,5.316248894,34121
150,-0.680971026,5.316248894,34122
150,-0.680971026,5.315970898,34123
150,-0.681805015,5.315970898,34124
150,-0.681805015,5.315692902,34125
150,-0.682361007,5.315692902,34126
150,-0.682361007,5.315416813,34127
150,-0.683193028,5.315416813,34128
150,-0.683193028,5.315138817,34129
150,-0.68374902,5.315138817,34130
150,-0.68374902,5.314860821,34131
150,-0.684306026,5.314860821,34132
150,-0.684306026,5.314582825,34133
150,-0.684862018,5.314582825,34134
150,-0.684862018,5.314304829,34135
150,-0.685971975,5.314304829,34136
150,-0.685971975,5.314026833,34137
150,-0.686806023,5.314026833,34138
150,-0.686806023,5.313748837,34139
150,-0.687915981,5.313748837,34140
150,-0.687915981,5.313473225,34141
150,-0.689028025,5.313473225,34142
150,-0.689028025,5.313195229,34143
150,-0.689584017,5.313195229,34144
150,-0.689584017,5.312917233,34145
150,-0.690971971,5.312917233,34146
150,-0.690971971,5.312639236,34147
150,-0.692084014,5.312639236,34148
150,-0.692084014,5.312360764,34149
150,-0.692915976,5.312360764,34150
150,-0.692915976,5.312082767,34151
150,-0.694584012,5.312082767,34152
150,-0.694584012,5.311804771,34153
150,-0.695415974,5.311804771,34154
150,-0.695415974,5.311526775,34155
150,-0.695694029,5.311526775,34156
150,-0.695694029,5.311251163,34157
150,-0.696250975,5.311251163,34158
150,-0.696250975,5.310973167,34159
150,-0.696803987,5.310973167,34160
